"Codigo","","Descrição","Apresentação do Produto","Valor","Estrelas","Especificações Tecnicas","","","","","","","","","","","","","",""
"","Produto","","","","","Cor","Garantia","Chip","Camera Traseira","Camera Frontal","Sintonizador de TV","A Prova D'Agua","Conectividade","Expansão de memoria","Armazenamento","Tamanho da tela","Bateria de longa duração","Sistema Operacional","Memoria RAM","Processador"
"3301791","Asus Zenfone 2 Laser Vermelho","Smartphone Asus Zenfone 2 Laser, Dual Chip, Vermelho, Tela 5.5"", 4G+WiFi, Android 5, 13MP, 16GB","ZenFone 2 Laser é ideal para quem não pode perder nenhum clique. Ele vem equipado com um sistema de foco Laser, capaz de focar as imagens na câmera traseira em metade do tempo de um smartphone com foco convencional. A câmera traseira, além de 13MP, tem grande abertura do diafragma, que captura mais luz e é equipada com flash Dual LED Real Tone, que dará tons mais naturais e realistas. A câmera frontal vai aposentar definitivamente o “pau-de-selfie”, pois possui lente grande angular de 85º, que aumenta o campo de visão e captura muito mais do ambiente, permitindo enquadrar mais amigos na foto. Além disso, tem um recurso bem legal chamado Panorama de Selfie, que aumenta o ângulo de captura para até 140º, permitindo enquadrar ainda mais amigos!A tela de 5,5 polegadas tem resolução Full HD com tecnologia IPS, que permite visualizar as imagens com qualidade impressionante em até 178° e Gorilla® Glass 4, a última criação da renomada Corning®, para garantir 2x mais resistência a quedas, 2,5x menos aderência para evitar riscos e é 85% menos propenso a quebrar (Em relação ao Corning® Gorilla® Glass 3. Dados fornecidos pala Corning). Já sua forma curvada, com apenas 3,9 mm de espessura na parte mais fina, tornam o ZenFone 2 Laser extremamente ergonômico, que proporcionam mais segurança e controle com apenas uma mão.Navegue com muito mais velocidade na rede 4G. E para garantir o desempenho, o ZenFone 2 Laser tem processador de quatro núcleos 64-bit. Tudo isso sem consumir toda a bateria removível de 3.000 mAh, pois tem consumo equilibrado e proporciona longas horas de uso para nunca te deixar na mão. ASUS ZenFone 2 Laser, veja na velocidade da luz.","799","4","Vermelho","1 Ano","2","13","5","Não","NÃO","4G","16 GB","16 GB","5.5""","SIM","Android 3","2 GB","Quad Core"
"3301775","Asus Zenfone 2 Prata","Smartphone Asus Zenfone 2, Dual Chip, Prata, Tela 5.5"", 4G+WiFi, Android 5, 13MP, 16GB","Zenfone 2 foi desenvolvido pela Asus para te acompanhar durante todo o seu dia, oferecendo uma tela incrível de 5.5” e tecnologia LED Backlight que permite navegar à vontade, também com o auxílio de excelente conexão 4G ou WiFi. O mais novo Android, na sua versão 5, disponibiliza inúmeros aplicativos que facilitam a sua rotina. As câmeras de 13MP e 5MP registram os melhores momentos e cada registro é armazenado com facilidade nos 16GB de memória interna disponíveis. Para garantir o excelente desempenho, esse modelo carrega processador Quad Core 1.8 gHZ","799","4","Prata","1 Ano","2","13","5","Não","NÃO","4G","16 GB","16 GB","5.5""","Sim","Android 3","4 GB","Quad Core"
"3302089","Lenovo Vibe C2","Smartphone Lenovo Vibe C2, Dual Chip, Preto, Tela 5"", 4G+WiFi, Android 6.0, 8MP, 16GB","O Lenovo VIBE C2 foi desenvolvido pensando em quem procura um smartphone de alta performance que proporcione verdadeiros momentos de diversão na correria do dia a dia. Assista a vídeos, divirta-se jogando e acesse as redes sociais sem se preocupar com travamentos. Sua experiência ao ouvir músicas nunca mais será a mesma depois de conhecer a Tecnologia Waves MaxxAudio®. Entre na Vibe e divirta-se com o Lenovo VIBE C2.","899","4","Sim","1 Ano","16 GB","5","8","Não","NÃO","4G","16 GB","16 GB","5""","SIM","Android 4","2 GB","Quad Core"
"3301980","LG G5 Dourado","Smartphone LG G5 Dourado, Tela 5.3"", 4G+WiFi+NFC, Android 6.0, 16MP, 32GB","Metal e vidro combinados harmoniosamente formando uma superfície contínua, sem abertura de antena. O design elegante, simples e clássico do smartphone G5 desenvolvido pela LG apresenta conforto e manuseio inigualáveis – o módulo cambiável com bateria deslizante abre uma variedade ilimitada de opções. Chega de apertar o botão para ver a hora, data ou notificações, com o LG G5SE, as coisas importantes já estão na parte de cima e ligadas! É só olhar. Com o Gerenciador de Amigos da LG, o LG G5 SE controla, joga e interage com todos os seus amigos da LG. Suas fotos serão ainda mais incríveis com a Lente com Ângulo de Visão Ampliado, em 135° - capture uma extensa linha de horizonte, um concerto em um estádio lotado, uma praia inteira, tudo o que seus olhos podem ver e muito mais. Desafie os limites com a redução de zoom ultra-ampla (0,5x) pela primeira vez em um smartphone. Faça várias fotos e vídeos bem de perto ou com toda a paisagem simplesmente pinçando a tela. É só pinçar para ver tudo. Opte também pela Foto-destaque, que permite tirar duas fotos ao mesmo tempo – uma normal e uma com visão ampliada, fazendo a sua foto se destacar usando 4 efeitos de fundo com fotomolduras: Efeito olho de peixe, P&B, Vinheta e Desfocado. Seus compartilhamentos vão receber mais curtidas do que todos os outros. Já o Modo Luz do Dia apresenta um tipo diferente de filtro “Solar”: quando o sol brilha, a tela também brilha. A avançada Tela IPS Quantum de 4K é mais brilhante, nítida e realista, mesmo ao ar livre e com a luz do dia.","599","3","prata","1 Ano","2","8","8","SIM","NÃO","4G","8 GB","8 GB","5""","Sim","Android 3","1 GB","Quad Core"
"3301978","LG G5 Prata","Smartphone LG G5 Prata, Tela 5.3"", 4G+WiFi+NFC, Android 6.0, 16MP, 32GB","Metal e vidro combinados harmoniosamente formando uma superfície contínua, sem abertura de antena. O design elegante, simples e clássico do smartphone G5 desenvolvido pela LG apresenta conforto e manuseio inigualáveis – o módulo cambiável com bateria deslizante abre uma variedade ilimitada de opções. Chega de apertar o botão para ver a hora, data ou notificações, com o LG G5SE, as coisas importantes já estão na parte de cima e ligadas! É só olhar. Com o Gerenciador de Amigos da LG, o LG G5 SE controla, joga e interage com todos os seus amigos da LG. Suas fotos serão ainda mais incríveis com a Lente com Ângulo de Visão Ampliado, em 135° - capture uma extensa linha de horizonte, um concerto em um estádio lotado, uma praia inteira, tudo o que seus olhos podem ver e muito mais. Desafie os limites com a redução de zoom ultra-ampla (0,5x) pela primeira vez em um smartphone. Faça várias fotos e vídeos bem de perto ou com toda a paisagem simplesmente pinçando a tela. É só pinçar para ver tudo. Opte também pela Foto-destaque, que permite tirar duas fotos ao mesmo tempo – uma normal e uma com visão ampliada, fazendo a sua foto se destacar usando 4 efeitos de fundo com fotomolduras: Efeito olho de peixe, P&B, Vinheta e Desfocado. Seus compartilhamentos vão receber mais curtidas do que todos os outros. Já o Modo Luz do Dia apresenta um tipo diferente de filtro “Solar”: quando o sol brilha, a tela também brilha. A avançada Tela IPS Quantum de 4K é mais brilhante, nítida e realista, mesmo ao ar livre e com a luz do dia.","599","3","Prata","1 Ano","1","16","8","Não","NÃO","4G","32 GB","32 GB","5.3""","Sim","Android 3","3 GB","Octa Core"
"3301979","LG G5 Titânio","Smartphone LG G5 Titânio, Tela 5.3"", 4G+WiFi+NFC, Android 6.0, 16MP, 32GB","Metal e vidro combinados harmoniosamente formando uma superfície contínua, sem abertura de antena. O design elegante, simples e clássico do smartphone G5 desenvolvido pela LG apresenta conforto e manuseio inigualáveis – o módulo cambiável com bateria deslizante abre uma variedade ilimitada de opções. Chega de apertar o botão para ver a hora, data ou notificações, com o LG G5SE, as coisas importantes já estão na parte de cima e ligadas! É só olhar. Com o Gerenciador de Amigos da LG, o LG G5 SE controla, joga e interage com todos os seus amigos da LG. Suas fotos serão ainda mais incríveis com a Lente com Ângulo de Visão Ampliado, em 135° - capture uma extensa linha de horizonte, um concerto em um estádio lotado, uma praia inteira, tudo o que seus olhos podem ver e muito mais. Desafie os limites com a redução de zoom ultra-ampla (0,5x) pela primeira vez em um smartphone. Faça várias fotos e vídeos bem de perto ou com toda a paisagem simplesmente pinçando a tela. É só pinçar para ver tudo. Opte também pela Foto-destaque, que permite tirar duas fotos ao mesmo tempo – uma normal e uma com visão ampliada, fazendo a sua foto se destacar usando 4 efeitos de fundo com fotomolduras: Efeito olho de peixe, P&B, Vinheta e Desfocado. Seus compartilhamentos vão receber mais curtidas do que todos os outros. Já o Modo Luz do Dia apresenta um tipo diferente de filtro “Solar”: quando o sol brilha, a tela também brilha. A avançada Tela IPS Quantum de 4K é mais brilhante, nítida e realista, mesmo ao ar livre e com a luz do dia.","599","3","Titânio","1 Ano","1","16","8","Não","NÃO","4G","32 GB","32 GB","5.3""","Sim","Android 3","3 GB","Octa Core"
"3301857","LG K10, Du","Smartphone LG K10, Dual Chip, Branco, Tela 5.3"", 4G+WiFi, Android 6.0, 13MP, 16GB","","599","3","Branco","1 Ano","2","13","8","SIM","NÃO","4G","16 GB","16 GB","5.3""","SIM","Android 3","1 GB","Octa Core"
"3301874","LG K10 Dourado","Smartphone LG K10, Dual Chip, Dourado, Tela 5.3"", 4G+WiFi, Android 6.0, 13MP, 16GB, TV Digital","LG traz o smartphone K10, dual chip, de design único para garantir que, em uma tela de qualidade, seja possível dominar fotos com câmeras excelentes sempre com uma alta performance. A tela 5.3"" de alta qualidade com tecnologia ""In-Cell touch"" apresenta melhor visualização em ambientes externos e as bordas arredondadas (com o vidro 2.5D ""arc glass"") e uma suave linha metálica trazem um acabamento premium e elegante. As câmeras registram os melhores momentos, seja com 13MP (principal) ou 8MP (frontal) e recursos como Quick Selfie e Virtual Flash capazes de facilitar ainda mais a captura em bons ângulos. A conectividade 4G exibe toda a experiência da internet rápida no seu celular que ainda sustenta um desempenho robusto com processador Octa Core para muito mais velocidade e fluidez, tornando seu dia a dia mais produtivo. O armazenamento disponível é de 16GB e o sistema operacional é Android 6.0.","599","3","Dourado","1 Ano","2","13","8","SIM","NÃO","4G","16 GB","16 GB","5.3""","SIM","Android 3","1 GB","Octa Core"
"3301856","LG K10 Indigo","Smartphone LG K10, Dual Chip, Índigo, Tela 5.3"", 4G+WiFi, Android 6.0, 13MP, 16GB","LG traz o smartphone K10, dual chip, de design único para garantir que, em uma tela de qualidade, seja possível dominar fotos com câmeras excelentes sempre com uma alta performance. A tela 5.3"" de alta qualidade com tecnologia ""In-Cell touch"" apresenta melhor visualização em ambientes externos e as bordas arredondadas (com o vidro 2.5D ""arc glass"") e uma suave linha metálica trazem um acabamento premium e elegante.As câmeras registram os melhores momentos, seja com 13 MP (principal) ou 8MP (frontal) e recursos como Quick Selfie e Virtual Flash capazes de facilitar ainda mais a captura bons ângulos. A conectividade 4G exibe toda a experiência da internet rápida no seu celular que ainda sustenta um desempenho robusto com processador Octa Core para muito mais velocidade e fluidez para tornar seu dia a dia mais produtivo. O armazenamento disponível é de 16GB e o sistema operacional é Android 6.0.","599","3","Índigo","1 Ano","2","13","8","SIM","NÃO","4G","16 GB","16 GB","5.3""","SIM","Android 3","1 GB","Octa Core"
"3301859","LG K4 Branco","Smartphone LG K4, Dual Chip, Branco, Tela 4.5"", 4G+WiFi, Android 5.1, 5MP, 8GB","O smartphone K4 desenvolvido pela LG tem capacidade para dois chips, oferecendo assim a oportunidade de se adaptar as mais variadas necessidades. A tela de 4.5” de qualidade, permite visualizar melhor as redes sociais, as notícias e inclusive as fotos tiradas pelo próprio aparelho. A câmera principal tem 5MP e a câmera frontal de 2MP é ideal para tirar as suas melhores selfies. O design compacto e atual carrega uma performance balanceada com o processador Quad Core e a tecnologia 4G que garante o melhor em conectividade. Com 8 GB de armazenamento, tem sistema operacional Android 5.1.","599","3","Branco","1 Ano","2","5","2","Não","NÃO","4G","16 GB","16 GB","4.5""","Não","Android 3","1 GB","Quad Core"
